ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
7214|FLoad|TRF_DIARIO_DATOS_RANK_EBC_TIEMPO|Frame_FLoad_TDT.py|0|15/07/2024|06:00:00|1|102|1|2|02||18/07/2024|2398|2
919|FLoad|MAEENTCO|Frame_FLoad_TDT.py|918|12/03/2020|00:15:00|1|101|1|1|1||12/03/2020|1618|2
41|FLoad|MAECLSRV|Frame_FLoad_TDT.py|40|30/10/2019|00:15:00|1|101|1|1|||12/11/2019|1333|2
884|FLoad|ASSIGNED_PRODUCT|Frame_FLoad_TDT.py|0|17/06/2020|02:00:00|1|101|1|1|1||16/06/2020|1605|2
8472|ExTdt|FAM_UC_QV_RED|Frame_Extractor.py|7965|04/02/2025|08:00:00|2|104|1|2|2,3,4,5,6||02/08/2025|1156|7
871|RNTdt|CUSTOMER_CONTACT_REL|Frame_TransformaRN.py|870|07/02/2020|02:00:00|1|101|1|1|1||06/02/2020|1585|3
808|FLoad|ASSIGNED_PRODUCT_STATUS|Frame_FLoad_TDT.py|0|17/06/2020|02:00:00|1|101|1|1|1||16/06/2020|1555|2
7068|RNTdt|CU_CAMBIOMEDIO|Frame_TransformaRN.py|7067|01/05/2024|04:00:00|1|103|1|8|8||19/06/2024|2365|3
2400|RNTdt|AlSalBol|Frame_TransformaRN.py|2398|29/09/2020|03:10:00|1|101|1|1|1||19/10/2020|1747|3
622|RNTdt|DPTPTMDV|Frame_TransformaRN.py|621|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1414|3
2198|RNTdt|FLGSCCOBR|Frame_TransformaRN.py|2197|28/08/2020|04:00:00|1|101|0|1|1||14/09/2020|1704|3
8150|SPTdt|ECARE_ALTAS_MOVIL|Frame_EjecutaSP.py|7595|01/05/2024|02:00:00|1|101|1|1|1||05/03/2025|935|5
7199|FTP|FB_GSS_RETENCIONES_FIJA_1|Frame_FtpGet.py|0|08/05/2024|08:00:00|1|101|0|1|1||20/01/2025|2390|1
7104|SPTdt|SEG003GASTOSDIREC|Frame_EjecutaSP.py|7102|27/06/2024|00:30:00|1|102|1|26|26||27/06/2024|625|5
7238|SPTdt|C_AlPreTrafico|Frame_EjecutaSP.py|0|01/07/2024|17:00:00|1|101|1|1|1||05/08/2024|711|5
6514|RNTdt|IntentSesion|Frame_TransformaRN.py|6513|30/11/2023|09:00:00|1|101|1|1|1||12/12/2023|2233|3
1950|RNTdt|REF_TIPDOCCOBR|Frame_TransformaRN.py|1949|02/07/2020|00:45:00|1|101|0|1|1||17/07/2020|1675|3
7326|FTP|MOVAMDOCS_INCREMENTOP|Frame_FtpGet.py|0|14/08/2024|05:00:00|1|101|1|1|1||04/03/2025|2404|1
4587|RNTdt|VISINCRTARIFA|Frame_TransformaRN.py|4586|01/01/2022|06:30:00|1|101|1|1|1||03/04/2025|1983|3
223|FLoad|MAECTADT|Frame_FLoad_TDT.py|222|30/10/2019|00:15:00|40|101|1|1|||12/11/2019|1337|2
4203|SPTdt|SP_REINTRECHZ|Frame_EjecutaSP.py|4202|17/02/2022|09:00:00|1|101|1|1|1||11/03/2022|353|5
625|RNTdt|DTDCTODV|Frame_TransformaRN.py|624|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1507|3
898|FLoad|PRODUCT_CATALOG_TYPE|Frame_FLoad_TDT.py|0|05/03/2020|07:30:00|1|101|1|1|1||05/03/2020|1611|2
2590|ExTdt|CAPLMT05|Frame_Extractor.py|2589|06/02/2021|07:30:00|1|102|1|6|06||17/02/2021|525|7
8384|RegCal|RC_MIGVTA_SIMC|Frame_EjecutaCalidad.py|7593|01/06/2025|02:00:00|1|101|1|1|1||27/06/2025|73|23
6268|FLoad|ATE_CAPL_Asistido|Frame_FLoad_TDT.py|6267|27/10/2023|06:00:00|1|101|1|1|1||28/11/2024|2189|2
2857|FTP|ATISDETFACB|Frame_FtpGet.py|0|30/03/2021|07:00:00|1|102|1|9|09,10,11,12,13||20/04/2022|1858|1
461|ExNz|GASSET02|Frame_Extractor_NZ.py|460|27/09/2019|01:00:00|1|101|1|1|||25/11/2019|133|9
6186|RNTdt|MovLogDeT|Frame_TransformaRN.py|6185|13/05/2025|11:00:00|1|101|1|1|1||28/05/2025|2159|3
7015|FTP|NCCONDET|Frame_FtpGet.py|7014|05/06/2024|09:00:00|4|102|1|5|05||05/06/2024|2346|1
1984|SPTdt|S_DPREF_F_CUO|Frame_EjecutaSP.py|1886|21/07/2020|03:13:00|1|101|1|1|1||22/07/2020|127|5
7910|FLoad|FB_ATE_CARIBU_INT|Frame_FLoad_TDT.py|7909|20/10/2024|16:00:00|1|101|1|1|1||22/01/2025|2532|2
